Timestamp,Exchange,Pair,Bid,Ask,Last,Spread,Volume,Change,PricePerUSD
2025-08-05T22:23:51.175Z,RAPIRA,USDT/RUB,80.9668548,80.988146824,,0.026297210201135932,,,
2025-08-05T22:23:51.935Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:23:52.350Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:23:55.390Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:23:55.585Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:23:55.776Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:23:55.966Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:24:26.482Z,RAPIRA,USDT/RUB,80.9668548,80.988146824,,0.026297210201135932,,,
2025-08-05T22:24:27.078Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:24:27.300Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:24:27.841Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:24:28.204Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:24:28.395Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:24:28.764Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:24:56.469Z,RAPIRA,USDT/RUB,80.9668548,80.9887272142198,,0.027014034661254877,,,
2025-08-05T22:24:57.068Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:24:57.473Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:24:58.012Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:24:58.204Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:24:58.397Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:24:58.573Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:25:26.479Z,RAPIRA,USDT/RUB,80.9668548,80.98933230189577,,0.02776136228991641,,,
2025-08-05T22:25:27.074Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:25:27.482Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:25:28.013Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:25:28.207Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:25:28.398Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:25:28.593Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:25:56.510Z,RAPIRA,USDT/RUB,80.9668548,80.98933230189577,,0.02776136228991641,,,
2025-08-05T22:25:57.107Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:25:57.526Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:25:58.063Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:25:58.271Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:25:58.465Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:25:58.664Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:26:26.471Z,RAPIRA,USDT/RUB,80.9668548,80.98933230189577,,0.02776136228991641,,,
2025-08-05T22:26:27.027Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:26:27.379Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:26:27.916Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:26:28.107Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:26:28.296Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:26:28.489Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:26:56.460Z,RAPIRA,USDT/RUB,80.9668548,80.98992010135242,,0.02848733770060164,,,
2025-08-05T22:26:57.073Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:26:57.307Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:26:57.848Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:26:58.040Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:26:58.235Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:26:58.425Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:27:26.466Z,RAPIRA,USDT/RUB,80.9668548,80.98992010135242,,0.02848733770060164,,,
2025-08-05T22:27:26.995Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:27:27.398Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:27:27.939Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:27:28.130Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:27:28.322Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:27:28.513Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:27:56.470Z,RAPIRA,USDT/RUB,80.9668548,80.98992010135242,,0.02848733770060164,,,
2025-08-05T22:27:56.949Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:27:57.484Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:27:58.017Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:27:58.206Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:27:58.394Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:27:58.582Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:28:26.505Z,RAPIRA,USDT/RUB,80.9668548,80.99,,0.028586018386380335,,,
2025-08-05T22:28:27.502Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:28:28.423Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:28:28.967Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:28:29.163Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:28:29.525Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:28:29.717Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:28:56.500Z,RAPIRA,USDT/RUB,80.9678064,80.99,,0.027410400487266087,,,
2025-08-05T22:28:57.463Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:28:58.413Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:28:58.950Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:28:59.144Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:28:59.338Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:28:59.529Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:29:26.496Z,RAPIRA,USDT/RUB,80.9633028046988,80.99,,0.03297443950081378,,,
2025-08-05T22:29:27.467Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:29:28.456Z,GRINEX,USDT/A7A5,80.752533774,80.97,,0.26929956973067387,,,
2025-08-05T22:29:28.997Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:29:29.191Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:29:29.385Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:29:29.746Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:29:56.483Z,RAPIRA,USDT/RUB,80.9625462046988,80.99,,0.0339092538317493,,,
2025-08-05T22:29:57.481Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:29:58.351Z,GRINEX,USDT/A7A5,80.75,80.97,,0.2724458204334351,,,
2025-08-05T22:29:58.899Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:29:59.095Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:29:59.288Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:29:59.483Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:30:26.483Z,RAPIRA,USDT/RUB,80.9625462046988,80.99,,0.0339092538317493,,,
2025-08-05T22:30:27.492Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:30:28.352Z,GRINEX,USDT/A7A5,80.75,80.967459952,,0.26930025015479714,,,
2025-08-05T22:30:28.891Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:30:29.087Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:30:29.300Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:30:29.494Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:30:56.498Z,RAPIRA,USDT/RUB,80.9625462046988,80.99,,0.0339092538317493,,,
2025-08-05T22:30:57.714Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:30:58.696Z,GRINEX,USDT/A7A5,80.75,80.967459952,,0.26930025015479714,,,
2025-08-05T22:30:59.234Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:30:59.430Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:30:59.625Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:30:59.820Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:31:26.481Z,RAPIRA,USDT/RUB,80.9625462046988,80.99,,0.0339092538317493,,,
2025-08-05T22:31:28.367Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:31:29.396Z,GRINEX,USDT/A7A5,80.75,80.967459952,,0.26930025015479714,,,
2025-08-05T22:31:29.935Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:31:30.129Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:31:30.318Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:31:30.674Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:31:56.480Z,RAPIRA,USDT/RUB,80.9625462046988,80.99,,0.0339092538317493,,,
2025-08-05T22:31:57.428Z,GRINEX,USDT/RUB,80.78,80.98,,0.2475860361475648,,,
2025-08-05T22:31:58.393Z,GRINEX,USDT/A7A5,80.75,80.967459952,,0.26930025015479714,,,
2025-08-05T22:31:58.929Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
